1991.iwpt	1991	Cancun, Mexico	Proceedings of the Second International Workshop on Parsing Technologies
1993.eamt	1993	Heidelberg, Germany	Third International EAMT Workshop: Machine Translation and the Lexicon
1993.iwpt	1993	Tilburg, Netherlands and Durbuy, Belgium	Proceedings of the Third International Workshop on Parsing Technologies
1994.amta	1994	Columbia, Maryland, USA	Proceedings of the First Conference of the Association for Machine Translation in the Americas
1994.eamt	1994	Hildesheim, Germany	Machine Translation and Translation Theory
1995.iwpt	1995	Prague and Karlovy Vary, Czech Republic	Proceedings of the Fourth International Workshop on Parsing Technologies
1996.amta	1996	Montreal, Canada	Conference of the Association for Machine Translation in the Americas
1996.eamt	1996	Vienna, Austria	EAMT Machine Translation Workshop
1997.eamt	1997	Copenhagen, Denmark	EAMT Workshop: Language Technology in your Organization?
1997.iwpt	1997	Boston/Cambridge, Massachusetts, USA	Proceedings of the Fifth International Workshop on Parsing Technologies
1998.eamt	1998	Geneva, Switzerland	Proceedings of the 1998 EAMT Workshop: Translation technology: integration in the workflow environment
1999.eamt	1999	Prague, Czech Republic	EAMT Workshop: EU and the new languages
2000.eamt	2000	Ljubljana, Slovenia	5th EAMT Workshop: Harvesting Existing Resources
2000.iwpt	2000	Trento, Italy	Proceedings of the Sixth International Workshop on Parsing Technologies
2002.eamt	2002	Manchester, England	Proceedings of the 6th EAMT Workshop: Teaching Machine Translation
2003.eamt	2003	Budapest, Hungary	EAMT Workshop: Improving MT through other language technology tools: resources and tools for building MT
2004.eamt	2004	Malta	Proceedings of the 9th EAMT Workshop: Broadening horizons of machine translation and its applications
2005.eamt	2005	Budapest, Hungary	Proceedings of the 10th EAMT Conference: Practical applications of machine translation
2005.sigdial	2005	Lisbon, Portugal	Proceedings of the 6th SIGdial Workshop on Discourse and Dialogue
2006.eamt	2006	Oslo, Norway	Proceedings of the 11th Annual conference of the European Association for Machine Translation
2007.sigdial	2007	Antwerp, Belgium	Proceedings of the 8th SIGdial Workshop on Discourse and Dialogue
2008.eamt	2008	Hamburg, Germany	Proceedings of the 12th Annual conference of the European Association for Machine Translation
2009.eamt	2009	Barcelona, Spain	Proceedings of the 13th Annual conference of the European Association for Machine Translation
2010.eamt	2010	Saint Raphaël, France	Proceedings of the 14th Annual conference of the European Association for Machine Translation
2011.eamt	2011	Leuven, Belgium	Proceedings of the 15th Annual conference of the European Association for Machine Translation
2012.eamt	2012	Trento, Italy	Proceedings of the 16th Annual conference of the European Association for Machine Translation
2014.eamt	2014	Dubrovnik, Croatia	Proceedings of the 17th Annual conference of the European Association for Machine Translation
2014.lilt	2014	@	Linguistic Issues in Language Technology, Volume 9, 2014 - Perspectives on Semantic Representations for Textual Inference
2015.eamt	2015	Antalya, Turkey	Proceedings of the 18th Annual Conference of the European Association for Machine Translation
2015.jeptalnrecital	2015	Caen, France	Actes de la 22e conférence sur le Traitement Automatique des Langues Naturelles. Articles longs
2015.lilt	2015	@	Linguistic Issues in Language Technology, Volume 10, 2015
2016.eamt	2016	Riga, Latvia	Proceedings of the 19th Annual Conference of the European Association for Machine Translation: Projects/Products
2016.gwc	2016	Bucharest, Romania	Proceedings of the 8th Global WordNet Conference (GWC)
2016.jeptalnrecital	2016	Paris, France	Actes de la conférence conjointe JEP-TALN-RECITAL 2016. volume 1 : JEP
2016.lilt	2016	@	Linguistic Issues in Language Technology, Volume 13, 2016
2017.jeptalnrecital	2017	Orléans, France	Actes des 24ème Conférence sur le Traitement Automatique des Langues Naturelles. Volume 1 - Articles longs
2017.lilt	2017	@	Linguistic Issues in Language Technology, Volume 15, 2017
