1991.iwpt.1	Proceedings of the Second International Workshop on Parsing Technologies	1991	Cancun, Mexico
1993.eamt.1	Third International EAMT Workshop: Machine Translation and the Lexicon	1993	Heidelberg, Germany
1993.iwpt.1	Proceedings of the Third International Workshop on Parsing Technologies	1993	Tilburg, Netherlands and Durbuy, Belgium
1994.amta.1	Proceedings of the First Conference of the Association for Machine Translation in the Americas	1994	Columbia, Maryland, USA
1994.eamt.1	Machine Translation and Translation Theory	1994	Hildesheim, Germany
1995.iwpt.1	Proceedings of the Fourth International Workshop on Parsing Technologies	1995	Prague and Karlovy Vary, Czech Republic
1996.amta.1	Conference of the Association for Machine Translation in the Americas	1996	Montreal, Canada
1996.eamt.1	EAMT Machine Translation Workshop	1996	Vienna, Austria
1997.eamt.1	EAMT Workshop: Language Technology in your Organization?	1997	Copenhagen, Denmark
1997.iwpt.1	Proceedings of the Fifth International Workshop on Parsing Technologies	1997	Boston/Cambridge, Massachusetts, USA
1998.eamt.1	Proceedings of the 1998 EAMT Workshop: Translation technology: integration in the workflow environment	1998	Geneva, Switzerland
1999.eamt.1	EAMT Workshop: EU and the new languages	1999	Prague, Czech Republic
2000.eamt.1	5th EAMT Workshop: Harvesting Existing Resources	2000	Ljubljana, Slovenia
2000.iwpt.1	Proceedings of the Sixth International Workshop on Parsing Technologies	2000	Trento, Italy
2002.eamt.1	Proceedings of the 6th EAMT Workshop: Teaching Machine Translation	2002	Manchester, England
2003.eamt.1	EAMT Workshop: Improving MT through other language technology tools: resources and tools for building MT	2003	Budapest, Hungary
2004.eamt.1	Proceedings of the 9th EAMT Workshop: Broadening horizons of machine translation and its applications	2004	Malta
2005.eamt.1	Proceedings of the 10th EAMT Conference: Practical applications of machine translation	2005	Budapest, Hungary
2005.sigdial.1	Proceedings of the 6th SIGdial Workshop on Discourse and Dialogue	2005	Lisbon, Portugal
2006.eamt.1	Proceedings of the 11th Annual conference of the European Association for Machine Translation	2006	Oslo, Norway
2007.sigdial.1	Proceedings of the 8th SIGdial Workshop on Discourse and Dialogue	2007	Antwerp, Belgium
2008.eamt.1	Proceedings of the 12th Annual conference of the European Association for Machine Translation	2008	Hamburg, Germany
2009.eamt.1	Proceedings of the 13th Annual conference of the European Association for Machine Translation	2009	Barcelona, Spain
2009.eamt.smart	Proceedings of the 13th Annual conference of the European Association for Machine Translation	2009	Barcelona, Spain
2010.eamt.1	Proceedings of the 14th Annual conference of the European Association for Machine Translation	2010	Saint Raphaël, France
2011.eamt.1	Proceedings of the 15th Annual conference of the European Association for Machine Translation	2011	Leuven, Belgium
2012.eamt.1	Proceedings of the 16th Annual conference of the European Association for Machine Translation	2012	Trento, Italy
2014.eamt.1	Proceedings of the 17th Annual conference of the European Association for Machine Translation	2014	Dubrovnik, Croatia
2014.lilt.10	Linguistic Issues in Language Technology, Volume 10, 2014	2014	@
2014.lilt.11	Linguistic Issues in Language Technology, Volume 11, 2014 - Theoretical and Computational Morphology: New Trends and Synergies	2014	@
2014.lilt.9	Linguistic Issues in Language Technology, Volume 9, 2014 - Perspectives on Semantic Representations for Textual Inference	2014	@
2015.eamt.1	Proceedings of the 18th Annual Conference of the European Association for Machine Translation	2015	Antalya, Turkey
2015.jeptalnrecital.court	Actes de la 22e conférence sur le Traitement Automatique des Langues Naturelles. Articles courts	2015	Caen, France
2015.jeptalnrecital.demonstration	Actes de la 22e conférence sur le Traitement Automatique des Langues Naturelles. Démonstrations	2015	Caen, France
2015.jeptalnrecital.invite	Actes de la 22e conférence sur le Traitement Automatique des Langues Naturelles. Conférences invitées	2015	Caen, France
2015.jeptalnrecital.long	Actes de la 22e conférence sur le Traitement Automatique des Langues Naturelles. Articles longs	2015	Caen, France
